id,product_title,brand,model,operating_system,extended_title
w2970,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 8gb 500gb hdd 14 ips fhd 19,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 8gb 500gb hdd 14 ips fhd 19 
w2971,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 500gb hdd 14 ips fhd 1,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 500gb hdd 14 ips fhd 1 
w2972,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 8gb 500gb hdd 14 ips fhd 192,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 8gb 500gb hdd 14 ips fhd 192 
w2973,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 8gb 1tb hdd 14 ips fhd 1920,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 8gb 1tb hdd 14 ips fhd 1920 
w2974,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 8gb 250gb ssd 14 ips fhd 192,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 8gb 250gb ssd 14 ips fhd 192 
w2975,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 1tb hdd 14 ips fhd 192,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 1tb hdd 14 ips fhd 192 
w2976,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 250gb ssd 14 ips fhd 1,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 250gb ssd 14 ips fhd 1 
w2977,topseller t460s i5 6300u 2.4g 8gb 256gb ssd w10p,lenovo,20f90038us,windows 10 ,topseller t460s i5 6300u 2.4g 8gb 256gb ssd w10p lenovo 20f90038us windows 
w2978,lenovo thinkpad p51s 15.6 intel i7 32gb 500gb hdd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 ,michaelelectronics2,len 15 01217 p71me3,microsoft windows,lenovo thinkpad p51s 15.6 intel i7 32gb 500gb hdd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me3 microsoft windows
w2979,lenovo thinkpad p51s 15.6 fhd i5 7300u 16gb 256gb ssd w10p,lenovo,20hb001fus,windows 10 ,lenovo thinkpad p51s 15.6 fhd i5 7300u 16gb 256gb ssd w10p 20hb001fus windows 
w2980,hp elitebook 1040 g3 14 core i7 6500u 8 gb 256 gb ssd hp dock connector ethernet vga adapter,hp,z2a38ut#aba,windows 10,hp elitebook 1040 g3 14 core i7 6500u 8 gb 256 gb ssd hp dock connector ethernet vga adapter z2a38ut#aba windows
w2981,hp zbook 15u g4 15.6 full hd touchscreen intel i7 15.6 fhd 1920x1080 touch 8gb 500gb hdd win 10 ,michaelelectronics2,hp 15 02354 g4 me1,microsoft windows,hp zbook 15u g4 15.6 full hd touchscreen intel i7 15.6 fhd 1920x1080 touch 8gb 500gb hdd win 10 hp 15 02354 g4 me1 microsoft windows
w2982,lenovo thinkpad p51s 15.6 fhd touchscreen i7 7500u 16gb 500gb win10 pro,lenovo,20hb001pus,windows 10 ,lenovo thinkpad p51s 15.6 fhd touchscreen i7 7500u 16gb 500gb win10 20hb001pus windows 
w2983,refurbished dell latitude l7280 8ply5h2ultrabook pc intel core i7 7600u 2.8 ghz dual core 16 gb ddr4 sdram 512 gb solid state 12.5 windows 10 professional,,,,refurbished dell latitude l7280 8ply5h2ultrabook pc intel core i7 7600u 2.8 ghz dual core 16 gb ddr4 sdram 512 gb solid state 12.5 windows 10 
w2984,lenovo thinkpad x1 carbon 4 windows 7 intel core i5 6200u 256gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 7,lenovo thinkpad x1 carbon 4 windows 7 intel core i5 6200u 256gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
w2985,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6500u 180gb ssd 8gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 7,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6500u 180gb ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
w2986,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6500u 256gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 8,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6500u 256gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
w2987,hp spectre x360 13t convertible ash intel i7 16gb 256gb ssd thunderbolt 3 13.3 fhd 1920x1080 touchscreen active stylus pen win 10 ,michaelelectronics2,hp 13 02365 fhd me5,microsoft windows,hp spectre x360 13t convertible ash intel i7 16gb 256gb ssd thunderbolt 3 13.3 fhd 1920x1080 touchscreen active stylus pen win 10 hp 13 02365 fhd me5 microsoft windows
w2988,dell latitude l7280 8ply5h2ultrabook pc intel core i7 7600u 2.8 ,dell,,windows 10 edition,dell latitude l7280 8ply5h2ultrabook pc intel core i7 7600u 2.8 windows 10 edition
w2989,lenovo thinkpad p51s 15.6 core i5 7300u 8 gb 512 gb ssd,lenovo,20hb0010us,windows 10 ,lenovo thinkpad p51s 15.6 core i5 7300u 8 gb 512 gb ssd 20hb0010us windows 10 
w2990,lenovo thinkpad p51s 15.6 intel i7 16gb 512gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 ,michaelelectronics2,len 15 01217 p71me7,microsoft windows,lenovo thinkpad p51s 15.6 intel i7 16gb 512gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me7 microsoft windows
w2991,topseller x1 carbon i5 6200u 2.3g 8gb 256gb ssd 14in w10p dg,lenovo,20fb002rus,windows 7,topseller x1 carbon i5 6200u 2.3g 8gb 256gb ssd 14in w10p dg lenovo 20fb002rus windows 7
w2992,2017 lenovo thinkpad x1 carbon 5th gen windows 10 intel core i7 7500u 180gb ssd 8gb 14 wqhd ips 2560x1440 classic ,lenovo,2017,windows 10,2017 lenovo thinkpad x1 carbon 5th gen windows 10 intel core i7 7500u 180gb ssd 8gb 14 wqhd ips 2560x1440 classic 
w2993,hp elitebook 840 g3 14 core i7 6600u 8 gb 256 gb ssd,hp,v1h24ut#aba,windows 7,hp elitebook 840 g3 14 core i7 6600u 8 gb 256 gb ssd v1h24ut#aba windows
w2994,lenovo thinkpad x1 carbon 14 core i5 7200u 8 gb 128 gb ssd,lenovo,20hr0011us,windows 10 ,lenovo thinkpad x1 carbon 14 core i5 7200u 8 gb 128 gb ssd 20hr0011us windows 10 
w2995,lenovo thinkpad p51s 15.6 core i7 6500u 16 gb 256 gb ssd,lenovo,20jy0005us,windows 7,lenovo thinkpad p51s 15.6 core i7 6500u 16 gb 256 gb ssd 20jy0005us windows
w2996,lenovo thinkpad t460s 14 core i7 6600u 8 gb 256 gb ssd,lenovo,20f9003cus,,lenovo thinkpad t460s 14 core i7 6600u 8 gb 256 gb ssd 20f9003cus
w2997,lenovo thinkpad x1 carbon 14 core i5 6200u 8 gb 256 gb ssd,lenovo,20k40021us,windows 7,lenovo thinkpad x1 carbon 14 core i5 6200u 8 gb 256 gb ssd 20k40021us windows 7
w2998,lenovo thinkpad p51s 15.6 core i7 6500u 16 gb 512 gb ssd,lenovo,20jy000bus,windows 7,lenovo thinkpad p51s 15.6 core i7 6500u 16 gb 512 gb ssd 20jy000bus windows
w2999,asus zenbook ux430ua dh74 14 fhd pc intel 8th gen i7 quad core 16gb 1tb ssd 14 full hd 1920 x 1080 win 10 quartz grey,michaelelectronics2,asu 14 07054 fhd me4,microsoft windows,asus zenbook ux430ua dh74 14 fhd pc intel 8th gen i7 quad core 16gb 1tb ssd 14 full hd 1920 x 1080 win 10 quartz asu 14 07054 fhd me4 microsoft windows
w3000,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 250gb ssd 14 ips fhd 19,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 250gb ssd 14 ips fhd 19 
w3001,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 1tb hdd 14 ips fhd 19,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 1tb hdd 14 ips fhd 19 
w3002,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 8gb 500gb ssd 14 ips fhd 19,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 8gb 500gb ssd 14 ips fhd 19 
w3003,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 250gb ssd 14 ips fhd ,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 250gb ssd 14 ips fhd 
w3004,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 1tb hdd 14 ips fhd 1920,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 1tb hdd 14 ips fhd 1920 
w3005,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 500gb hdd 14 ips fhd 19,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 500gb hdd 14 ips fhd 19 
w3006,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 500gb ssd 14 ips fhd 1,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 8gb 500gb ssd 14 ips fhd 1 
w3007,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 12gb 1tb hdd 14 ips fhd 192,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 12gb 1tb hdd 14 ips fhd 192 
w3008,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 12gb 250gb ssd 14 ips fhd 1,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 12gb 250gb ssd 14 ips fhd 1 
w3009,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 8gb 500gb ssd 14 ips fhd 192,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 8gb 500gb ssd 14 ips fhd 192 
w3010,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 500gb hdd 14 ips fhd ,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 500gb hdd 14 ips fhd 
w3011,refurbished lenovo thinkpad x1 yoga 20jf000cus 14 touchscreen lcd 2 1 intel core i5 7th gen i5 7300u dual core 2 core 2.60 ghz 16 gb lpddr3 256 gb ssd windows 10 pro,,,,refurbished lenovo thinkpad x1 yoga 20jf000cus 14 touchscreen lcd 2 1 intel core i5 7th gen i5 7300u dual core 2 core 2.60 ghz 16 gb lpddr3 256 gb ssd windows 10 
w3012,hp zbook 15u g4 15.6 full hd touchscreen intel i7 15.6 fhd 1920x1080 touch 16gb 500gb hdd win 10 ,michaelelectronics2,hp 15 02354 g4 me2,microsoft windows,hp zbook 15u g4 15.6 full hd touchscreen intel i7 15.6 fhd 1920x1080 touch 16gb 500gb hdd win 10 hp 15 02354 g4 me2 microsoft windows
w3013,2017 lenovo thinkpad x1 carbon 5th gen windows 10 intel core i7 7600u 180gb ssd 8gb 14 wqhd ips 2560x1440 reader,lenovo,2017,windows 10,2017 lenovo thinkpad x1 carbon 5th gen windows 10 intel core i7 7600u 180gb ssd 8gb 14 wqhd ips 2560x1440 
w3014,2017 lenovo thinkpad x1 carbon 5th gen windows 7 intel core i7 7600u 180gb ssd 8gb 14 wqhd ips 2560x1440 reader,lenovo,2017,windows 7,2017 lenovo thinkpad x1 carbon 5th gen windows 7 intel core i7 7600u 180gb ssd 8gb 14 wqhd ips 2560x1440 
w3015,2017 lenovo thinkpad x1 carbon 5th gen windows 7 intel core i7 7600u 180gb ssd 8gb 14 wqhd ips 2560x1440 color,lenovo,2017,windows 7,2017 lenovo thinkpad x1 carbon 5th gen windows 7 intel core i7 7600u 180gb ssd 8gb 14 wqhd ips 2560x1440 
w3016,2017 lenovo thinkpad x1 carbon 5th gen windows 7 intel core i7 7500u 180gb ssd 8gb 14 wqhd ips 2560x1440 classic ,lenovo,2017,windows 7,2017 lenovo thinkpad x1 carbon 5th gen windows 7 intel core i7 7500u 180gb ssd 8gb 14 wqhd ips 2560x1440 classic 
w3017,lenovo thinkpad x1 yoga 20jf000cus 14 touchscreen lcd 2 1 ,lenovo,20jf000cus,windows 10 edition,lenovo thinkpad x1 yoga 20jf000cus 14 touchscreen lcd 2 1 20jf000cus windows 10 edition
w3018,lenovo thinkpad x1 carbon 14 core i5 7300u 8 gb 256 gb ssd,lenovo,20hr000dus,windows 10 ,lenovo thinkpad x1 carbon 14 core i5 7300u 8 gb 256 gb ssd 20hr000dus windows 10 
w3019,hp inc. sb notebooks v1p91ut#aba 1040 i5 6300u 2.4g,hp,v1p91ut#aba,microsoft windows,hp inc. sb notebooks v1p91ut#aba 1040 i5 6300u 2.4g microsoft windows
w3020,hp elitebook 840 g4 14 fhd pc intel i7 8gb 1tb hdd 512gb ssd 14 full hd 1920x1080 bt win 10 ,michaelelectronics2,hp 14 02398 fhd me4,microsoft windows,hp elitebook 840 g4 14 fhd pc intel i7 8gb 1tb hdd 512gb ssd 14 full hd 1920x1080 bt win 10 hp 14 02398 fhd me4 microsoft windows
w3021,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6500u 512gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 10,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6500u 512gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
w3022,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 7,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3023,lenovo thinkpad x1 carbon 14 core i7 7500u 8 gb 256 gb ssd,lenovo,20hr0057us,windows 10 ,lenovo thinkpad x1 carbon 14 core i7 7500u 8 gb 256 gb ssd 20hr0057us windows 10 
w3024,msi gs63 stealth 061 15.6 intel core i7 7700hq 2.8ghz 16gb ddr4 1tb hdd 128gb pci e ssd gtx 1050 usb3.0 windows 10 ,msi,,microsoft windows,msi gs63 stealth 061 15.6 intel core i7 7700hq 2.8ghz 16gb ddr4 1tb hdd 128gb pci e ssd gtx 1050 usb3.0 windows 10 microsoft
w3025,lenovo thinkpad p51s 15.6 intel i7 32gb 240gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 ,michaelelectronics2,len 15 01217 p71me6,microsoft windows,lenovo thinkpad p51s 15.6 intel i7 32gb 240gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me6 microsoft windows
w3026,hp spectre x360 13t convertible ash intel i7 16gb 512gb ssd thunderbolt 3 13.3 fhd 1920x1080 touchscreen active stylus pen win 10 ,michaelelectronics2,hp 13 02365 fhd me2,microsoft windows,hp spectre x360 13t convertible ash intel i7 16gb 512gb ssd thunderbolt 3 13.3 fhd 1920x1080 touchscreen active stylus pen win 10 hp 13 02365 fhd me2 microsoft windows
w3027,toshiba portégé z20t c 12.5 core m5 6y57 8 gb 256 gb ssd,toshiba,pt16bu 01m02f,microsoft windows,toshiba portégé z20t c 12.5 core m5 6y57 8 gb 256 gb ssd pt16bu 01m02f microsoft windows
w3028,asus rog gl503vd db74 15.6 intel core i7 7700hq 2.8ghz 16gb ddr4 1tb hdd 256gb ssd gtx 1050 usb3.1 windows 10 rog metallic ,asus,gl503vd db74,microsoft windows,asus rog gl503vd db74 15.6 intel core i7 7700hq 2.8ghz 16gb ddr4 1tb hdd 256gb ssd gtx 1050 usb3.1 windows 10 rog metallic asus gl503vd db74 microsoft
w3029,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 512gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 8,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 512gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3030,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 12gb 500gb ssd 14 ips fhd 1920x1080 touchscreen ac wi fi,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 12gb 500gb ssd 14 ips fhd 1920x1080 touchscreen ac wi fi 
w3031,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 20gb 250gb ssd 14 ips fhd 1,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 20gb 250gb ssd 14 ips fhd 1 
w3032,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 20gb 1tb hdd 14 ips fhd 1920,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 20gb 1tb hdd 14 ips fhd 1920 
w3033,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 20gb 250gb ssd 14 ips fhd 19,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 20gb 250gb ssd 14 ips fhd 19 
w3034,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 500gb ssd 14 ips fhd ,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 12gb 500gb ssd 14 ips fhd 
w3035,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 20gb 500gb hdd 14 ips fhd ,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 20gb 500gb hdd 14 ips fhd 
w3036,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 20gb 1tb hdd 14 ips fhd 192,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 20gb 1tb hdd 14 ips fhd 192 
w3037,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 20gb 500gb hdd 14 ips fhd 1,lenovo,,windows 10,lenovo thinkpad t450s touch windows 10 intel core i7 5600u 20gb 500gb hdd 14 ips fhd 1 
w3038,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 20gb 500gb hdd 14 ips fhd 19,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 20gb 500gb hdd 14 ips fhd 19 
w3039,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 500gb ssd 14 ips fhd 19,lenovo,,windows 7,lenovo thinkpad t450s touch windows 7 intel core i7 5600u 12gb 500gb ssd 14 ips fhd 19 
w3040,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 20gb 250gb ssd 14 ips fhd ,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 20gb 250gb ssd 14 ips fhd 
w3041,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 20gb 1tb hdd 14 ips fhd 19,lenovo,,windows 8,lenovo thinkpad t450s touch windows 8.1 intel core i7 5600u 20gb 1tb hdd 14 ips fhd 19 
w3042,lenovo thinkpad x1 carbon 14 fullhd i5 7300u16gb 256gb ssd win10 pro,lenovo,20hr000kus,windows 10 ,lenovo thinkpad x1 carbon 14 fullhd i5 7300u16gb 256gb ssd win10 20hr000kus windows 
w3043,hp zbook studio g3 15.6 core i7 6700hq 8 gb 256 gb ssd,hp,t6e14ut#aba,windows 7,hp zbook studio g3 15.6 core i7 6700hq 8 gb 256 gb ssd t6e14ut#aba windows
w3044,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 7,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3045,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 10,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3046,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 8,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3047,lenovo thinkpad t460s touch windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ac wifi,lenovo,,windows 8,lenovo thinkpad t460s touch windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 touchscreen 
w3048,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 10,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 
w3049,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 8,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 
w3050,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 7,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 
w3051,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 touchscreen ac wifi,lenovo,,windows 10,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 touchscreen 
w3052,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,20bu00cuus,windows 10,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 20bu00cuus
w3053,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 8,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 
w3054,lenovo thinkpad t460s touch windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ac wifi,lenovo,,windows 7,lenovo thinkpad t460s touch windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 touchscreen 
w3055,lenovo thinkpad x1 carbon 4 windows 7 intel core i5 6200u 1tb ssd 8gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 7,lenovo thinkpad x1 carbon 4 windows 7 intel core i5 6200u 1tb ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
w3056,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6500u 1tb ssd 8gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 10,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6500u 1tb ssd 8gb 14 fhd ips 1920x1080 intel hd 520 
w3057,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 7,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 
w3058,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 10,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 
w3059,lenovo thinkpad t460s touch windows 7 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 touchscreen ac wifi,lenovo,,windows 7,lenovo thinkpad t460s touch windows 7 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 touchscreen 
w3060,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 8,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 
w3061,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 7,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 
w3062,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 7,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 
w3063,lenovo thinkpad t460s touch windows 8.1 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 touchscreen ac wifi,lenovo,,windows 8,lenovo thinkpad t460s touch windows 8.1 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 touchscreen 
w3064,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 8,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 
w3065,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ac wifi,lenovo,,windows 10,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 
w3066,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ac wifi,lenovo,,windows 10,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 touchscreen 
w3067,hp zbook 15u g4 15.6 full hd touchscreen intel i7 15.6 fhd 1920x1080 touch 16gb 500gb hdd 128gb ssd win 10 ,michaelelectronics2,hp 15 02354 g4 me3,microsoft windows,hp zbook 15u g4 15.6 full hd touchscreen intel i7 15.6 fhd 1920x1080 touch 16gb 500gb hdd 128gb ssd win 10 hp 15 02354 g4 me3 microsoft windows
w3068,lenovo thinkpad x1 carbon 14 core i7 6500u 8 gb 256 gb ssd,lenovo,20k4002rus,windows 7,lenovo thinkpad x1 carbon 14 core i7 6500u 8 gb 256 gb ssd 20k4002rus windows
w3069,lenovo thinkpad x1 carbon 14 fhd i5 7200u 8gb 256gb ssd win10 pro,lenovo,20hr000gus,windows 10 ,lenovo thinkpad x1 carbon 14 fhd i5 7200u 8gb 256gb ssd win10 20hr000gus windows 
w3070,hp elitebook 840 g4 14 fhd pc intel i7 16gb 1tb hdd 512gb ssd 14 full hd 1920x1080 bt win 10 ,michaelelectronics2,hp 14 02398 fhd me5,microsoft windows,hp elitebook 840 g4 14 fhd pc intel i7 16gb 1tb hdd 512gb ssd 14 full hd 1920x1080 bt win 10 hp 14 02398 fhd me5 microsoft windows
w3071,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 512gb nvme ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 10,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 512gb nvme ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3072,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 10,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
w3073,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520,lenovo,,windows 8,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 
